sample	A.OX	AfsA	AMP.binding	ATd	Autoind_synth	Bacteriocin_II	Bacteriocin_IIc	Bacteriocin_IId	botH	bt1fas	CaiA	Chal_sti_synt_C	Chal_sti_synt_N	Condensation	cyanobactin_synth	cycdipepsynth	cypI	DOIS	DUF1205	DUF692	ectoine_synt	fabH	fom1	Glyco_transf_28	Glycos_transf_1	Glycos_transf_2	goadsporin_like	hglD	hglE	indsynth	IucA_IucC	Lactococcin	LANC_like	Lant_dehyd_C	Lant_dehyd_N	lasso	Linocin_M18	LipV	LmbU	Lycopene_cycl	melC	MGT	micJ25	mvd_mst	mvnA	NAD_binding_4	NapT7	novH	PF00067	PF00106	PF02441	PF04820	PF13561	PF13575	phosphonates	phytoene_synt	phzB	PKS_AT	PKS_KS	PP.binding	prnB	salQ	spcDK_like_cou	spcDK_like_glyc	strepbact	strK_like1	strK_like2	t2clf	t2fas	t2ks	t2ks2	tabtoxin	terpene_cyclase	Terpene_synth_C	thiostrepton	TIGR03651	TIGR03678	TIGR03731	TIGR03793	TIGR03795	TIGR03798	TIGR03882	TIGR03975	TIGR04363	ToyB	TunD	YcaO
sim_meta-18	248	7	12982	0	34	0	0	0	0	11	0	29	53	989	17	0	0	0	0	65	20	716	12	232	2218	2730	5	21	46	0	91	2	16	4	0	0	19	0	0	31	0	128	61	0	0	1588	4	0	764	3306	338	395	1992	28	23	224	0	814	621	496	0	0	3	1	0	0	0	8	1261	12	0	0	43	9	0	4	0	0	0	0	4	5	1	0	0	8	191
sim_meta-19	313	8	14131	0	63	0	0	0	3	23	0	37	37	1402	0	0	0	0	0	95	20	707	1	172	1865	2221	7	23	113	0	103	0	6	0	0	0	40	0	0	37	0	138	33	0	0	1234	4	0	824	3439	266	541	1656	0	19	233	0	791	520	520	0	0	0	4	0	0	0	13	1253	30	0	0	82	22	0	0	0	0	0	0	0	0	0	0	0	8	164
sim_meta-2	170	0	10324	0	29	0	0	0	0	4	0	45	22	753	0	0	0	0	0	46	8	1006	0	199	2563	2987	0	49	50	0	110	0	3	0	0	0	58	0	0	50	0	78	40	0	0	1668	1	0	335	3146	351	365	2143	4	0	237	0	627	165	451	0	0	2	1	0	0	0	21	1520	1	0	0	77	1	0	7	0	0	0	0	1	0	0	0	0	2	203
sim_meta-20	328	0	13553	2	46	0	0	0	0	7	0	7	14	659	5	0	0	0	0	105	38	859	25	216	2257	2282	0	12	27	0	98	0	34	0	0	0	11	0	0	17	0	99	27	0	0	1408	4	0	742	3518	331	232	2295	39	10	322	0	609	198	384	0	0	0	5	0	1	0	6	1494	12	0	0	58	0	0	9	0	0	0	0	5	0	0	0	1	1	92
sim_meta-21	265	0	12622	3	18	0	0	0	0	0	0	39	21	733	0	12	0	0	0	130	8	666	0	172	2285	2248	0	17	70	58	80	0	19	0	0	0	13	2	8	40	0	142	14	0	1	1243	12	0	889	3217	311	400	1774	12	9	269	0	999	882	461	4	0	0	0	0	0	0	39	1411	65	0	0	39	46	0	2	0	0	0	0	3	0	0	0	0	4	112
sim_meta-22	366	4	14492	1	47	0	0	0	0	11	0	22	32	2001	12	3	0	0	0	75	21	852	4	208	2259	2354	0	48	76	40	146	0	43	118	21	0	7	0	3	29	0	94	21	1	0	1342	7	0	568	3266	297	566	1904	32	69	208	1	1065	1103	750	19	26	3	4	0	3	0	10	1446	7	0	0	36	23	0	1	0	0	0	8	2	7	72	0	3	0	185
sim_meta-23	260	2	12132	1	13	0	1	0	0	3	0	37	52	1681	3	2	1	0	0	143	19	693	5	219	1842	2118	0	32	40	2	104	5	21	26	6	0	8	0	0	38	2	197	55	0	0	1497	0	0	568	2925	328	456	1893	1	24	182	7	950	803	656	0	0	3	3	0	1	0	18	1312	18	0	0	27	37	0	2	0	0	0	0	2	10	4	0	5	1	183
sim_meta-24	247	0	13927	0	30	0	0	1	0	18	0	8	10	706	0	0	0	0	0	132	4	680	22	171	1708	2077	0	13	21	64	52	0	27	11	1	0	29	0	0	36	0	87	15	0	0	1287	6	0	604	3273	285	272	2148	0	9	295	0	533	133	363	0	0	0	0	0	0	0	0	1134	0	0	0	29	0	0	8	0	0	0	13	0	3	0	0	0	0	230
sim_meta-25	348	0	14906	352	16	0	0	0	0	0	0	46	58	1055	0	0	0	0	0	172	4	603	2	186	2223	2032	0	30	84	0	75	1	30	30	7	0	66	0	0	3	0	196	31	13	0	1364	3	0	1072	3465	297	258	1718	2	83	221	16	792	2399	794	0	0	0	3	0	1	0	0	1024	9	43	1	78	93	0	2	0	1	0	0	3	16	0	0	0	0	423
sim_meta-26	273	0	9277	0	53	0	0	0	0	4	0	13	5	1141	0	0	0	0	0	142	18	666	0	241	2046	2065	0	56	47	0	191	0	0	0	0	0	49	0	0	32	0	78	29	0	0	1186	0	0	369	2840	369	700	1796	0	42	138	0	647	272	496	41	0	1	0	0	0	0	0	1624	4	0	0	54	15	0	6	0	0	0	0	0	0	0	0	0	2	243
